epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.687,2.04168,2.45704,1.68658,0.03914,0.15564,0.01661,0.00583,2.14946,3.35563,1.9602,0.000656716,0.000656716,0.000656716
2,557.143,2.11498,2.28575,1.77273,0.29039,0.1589,0.12664,0.04792,2.4676,2.84228,2.07613,0.00129718,0.00129718,0.00129718
3,821.811,2.11274,2.22115,1.77924,0.21857,0.2288,0.1241,0.04236,2.3512,3.36164,2.05688,0.00191124,0.00191124,0.00191124
4,1096.58,2.08947,2.2073,1.79757,0.20684,0.1808,0.10222,0.03101,2.56023,3.68082,2.1754,0.0018812,0.0018812,0.0018812
5,1368.16,2.03051,2.15091,1.76822,0.35362,0.26142,0.19894,0.08252,2.18217,2.39152,1.93179,0.0018416,0.0018416,0.0018416
6,1633.46,1.99926,2.10928,1.75788,0.35786,0.25536,0.20479,0.08178,2.23204,2.13725,1.91055,0.001802,0.001802,0.001802
7,1900.74,1.97079,2.05107,1.70961,0.36888,0.29916,0.24077,0.10077,2.05306,2.39119,1.82481,0.0017624,0.0017624,0.0017624
8,2165.07,1.91962,2.01479,1.71484,0.36677,0.26468,0.21054,0.08631,2.09884,2.1393,1.79539,0.0017228,0.0017228,0.0017228
9,2430.31,1.92527,2.0343,1.69627,0.38382,0.31,0.24756,0.10053,2.02154,2.05622,1.78076,0.0016832,0.0016832,0.0016832
10,2696.23,1.89331,1.96138,1.68918,0.42765,0.30568,0.26859,0.1076,2.0196,2.12067,1.75832,0.0016436,0.0016436,0.0016436
11,2962.99,1.88113,1.96099,1.67143,0.41167,0.29443,0.25805,0.10995,2.00035,2.05703,1.75307,0.001604,0.001604,0.001604
12,3230.16,1.8515,1.89676,1.63199,0.44894,0.34716,0.28908,0.1183,1.95201,1.84302,1.71993,0.0015644,0.0015644,0.0015644
13,272.838,1.83469,1.89728,1.64952,0.40823,0.30988,0.26335,0.1126,1.93962,2.02081,1.71108,0.0015248,0.0015248,0.0015248
14,540.994,1.87264,1.92302,1.65564,0.43566,0.31594,0.28105,0.11891,1.8885,1.91809,1.6486,0.0014852,0.0014852,0.0014852
