epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,579.182,2.04292,2.28989,1.67106,0.02842,0.27462,0.01376,0.00444,2.33262,20.1986,2.07654,0.000656716,0.000656716,0.000656716
2,1150.43,2.15572,2.24957,1.81188,0.07351,0.07502,0.00948,0.0034,3.18518,7.08352,5.38485,0.00131028,0.00131028,0.00131028
3,1724.06,2.17948,2.21825,1.88573,0.14043,0.14539,0.06532,0.02365,2.59458,4.09167,2.21468,0.00195065,0.00195065,0.00195065
4,2294.54,2.14624,2.20826,1.86679,0.11023,0.17568,0.04658,0.01647,2.41934,5.26482,2.05445,0.0019406,0.0019406,0.0019406
5,2861.49,2.09346,2.14522,1.81194,0.32009,0.23812,0.16679,0.06176,2.31598,2.7841,2.02097,0.0019208,0.0019208,0.0019208
6,3428.72,2.04896,2.1179,1.80774,0.05466,0.28518,0.02827,0.00921,2.53505,65.2754,2.57455,0.001901,0.001901,0.001901
7,4000.33,2.01738,2.08124,1.75741,0.41217,0.28705,0.23292,0.09443,2.0545,2.49615,1.79596,0.0018812,0.0018812,0.0018812
8,4570.15,1.96733,2.00651,1.73922,0.28321,0.29916,0.18373,0.07047,2.11883,2.48892,1.87345,0.0018614,0.0018614,0.0018614
9,5140.88,1.95018,2.04779,1.72369,0.42263,0.28239,0.23972,0.10076,2.08769,2.47908,1.81633,0.0018416,0.0018416,0.0018416
10,5709.03,1.92903,1.98962,1.72206,0.39246,0.28285,0.23314,0.08787,2.10099,2.38357,1.85521,0.0018218,0.0018218,0.0018218
11,6279.14,1.95674,2.00787,1.72619,0.39728,0.30242,0.26287,0.11279,1.99377,2.05702,1.73438,0.001802,0.001802,0.001802
12,6850.28,1.9016,1.935,1.68044,0.4275,0.29963,0.25967,0.10881,2.02882,2.17131,1.75345,0.0017822,0.0017822,0.0017822
13,7418.32,1.87712,1.9755,1.71431,0.43595,0.30755,0.27018,0.11386,1.94012,1.86398,1.72692,0.0017624,0.0017624,0.0017624
14,7991.8,1.86766,1.91695,1.67637,0.43845,0.31034,0.28045,0.11602,1.98482,1.9991,1.75067,0.0017426,0.0017426,0.0017426
15,8565.19,1.86323,1.93891,1.69161,0.42002,0.32262,0.28628,0.1283,1.93791,1.7412,1.68759,0.0017228,0.0017228,0.0017228
16,9131.62,1.84393,1.85044,1.6322,0.4535,0.32339,0.27911,0.1196,1.92281,1.79769,1.68274,0.001703,0.001703,0.001703
17,9700.79,1.86444,1.8494,1.64393,0.42043,0.33131,0.25812,0.09863,1.96676,2.03298,1.69643,0.0016832,0.0016832,0.0016832
18,10271,1.7989,1.8585,1.63303,0.44592,0.31314,0.29511,0.1287,1.91943,1.83576,1.69569,0.0016634,0.0016634,0.0016634
19,10840.6,1.82442,1.84061,1.62833,0.43928,0.34669,0.29228,0.12418,1.86238,1.73484,1.63707,0.0016436,0.0016436,0.0016436
20,11410.6,1.79728,1.7804,1.59072,0.43201,0.33504,0.27602,0.11941,1.87983,1.72661,1.65945,0.0016238,0.0016238,0.0016238
21,11981.1,1.79471,1.74473,1.60064,0.43577,0.33178,0.27484,0.11889,1.9549,1.75216,1.7089,0.001604,0.001604,0.001604
22,12543.3,1.77736,1.72569,1.56051,0.45775,0.3379,0.30011,0.13517,1.85024,1.68655,1.64164,0.0015842,0.0015842,0.0015842
23,13091.9,1.75556,1.74621,1.58237,0.46965,0.37092,0.34052,0.15043,1.85526,1.6156,1.63658,0.0015644,0.0015644,0.0015644
24,13641.2,1.74038,1.76725,1.59126,0.49275,0.35881,0.33267,0.14931,1.81145,1.75668,1.60121,0.0015446,0.0015446,0.0015446
25,14194.2,1.73419,1.7364,1.55588,0.48121,0.36253,0.34553,0.15908,1.78077,1.63149,1.60571,0.0015248,0.0015248,0.0015248
26,14748,1.70115,1.71478,1.56283,0.46364,0.36253,0.33648,0.15104,1.78127,1.59193,1.5929,0.001505,0.001505,0.001505
27,15300.6,1.6909,1.66712,1.53801,0.48215,0.35927,0.34087,0.15118,1.77554,1.59486,1.57687,0.0014852,0.0014852,0.0014852
28,15853.8,1.69826,1.68906,1.54308,0.47427,0.36067,0.32885,0.14712,1.80496,1.56897,1.59918,0.0014654,0.0014654,0.0014654
